Campo1|Campo2|Campo3|Campo4
2017/04/12|Hola mundo 607|607|607,555666
2017/04/13|Hola mundo 608|608|608,555666
2017/04/14|Hola mundo 609|609|609,555666
2017/04/15|Hola mundo 610|610|610,555666
2017/04/16|Hola mundo 611|611|611,555666
2017/04/17|Hola mundo 612|612|612,555666
2017/04/18|Hola mundo 613|613|613,555666
2017/04/19|Hola mundo 614|614|614,555666
2017/04/20|Hola mundo 615|615|615,555666
2017/04/21|Hola mundo 616|616|616,555666
2017/04/22|Hola mundo 617|617|617,555666
2017/04/23|Hola mundo 618|618|618,555666
2017/04/24|Hola mundo 619|619|619,555666
2017/04/25|Hola mundo 620|620|620,555666
2017/04/26|Hola mundo 621|621|621,555666
